Document,Precision,Recall,F1-score
0,1.0,0.545,0.706
1,0.667,0.4,0.5
2,1.0,0.154,0.267
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,0.667,1.0,0.8
6,1.0,0.333,0.5
7,0.667,0.4,0.5
8,0.667,1.0,0.8
9,1.0,0.583,0.737
10,1.0,0.4,0.571
11,1.0,0.667,0.8
12,1.0,0.667,0.8
13,1.0,0.5,0.667
14,0.25,0.4,0.308
15,1.0,0.75,0.857
16,0.5,1.0,0.667
17,0.75,0.75,0.75
18,1.0,0.667,0.8
19,1.0,0.5,0.667
20,0.667,0.4,0.5
21,0.8,0.5,0.615
22,0.0,0.0,0.0
23,0.625,0.357,0.455
24,0.667,0.667,0.667
25,0.682,0.455,0.545
26,1.0,1.0,1.0
27,0.643,0.474,0.545
28,0.6,0.333,0.429
29,0.8,0.571,0.667
30,0.667,1.0,0.8
31,0.8,0.308,0.444
32,0.714,1.0,0.833
33,0.667,0.364,0.471
34,1.0,0.333,0.5
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.6,0.231,0.333
38,0.667,0.333,0.444
39,0.75,0.5,0.6
40,1.0,0.25,0.4
41,1.0,0.273,0.429
42,1.0,1.0,1.0
43,0.0,0.0,0.0
44,0.8,0.5,0.615
45,0.182,0.071,0.103
46,1.0,0.111,0.2
47,1.0,0.429,0.6
48,0.5,0.067,0.118
49,0.5,0.067,0.118
50,0.0,0.0,0.0
51,0.5,0.4,0.444
52,0.0,0.0,0.0
53,1.0,0.333,0.5
54,0.0,0.0,0.0
55,1.0,0.333,0.5
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.5,0.5,0.5
60,1.0,0.4,0.571
61,0.25,1.0,0.4
62,1.0,0.2,0.333
63,0.571,1.0,0.727
64,0.5,0.222,0.308
65,1.0,0.4,0.571
66,0.571,1.0,0.727
67,1.0,0.6,0.75
68,0.333,0.5,0.4
69,0.5,0.571,0.533
70,0.667,1.0,0.8
71,0.429,1.0,0.6
72,1.0,0.571,0.727
73,1.0,0.5,0.667
74,0.75,0.333,0.462
75,0.8,0.667,0.727
76,0.2,1.0,0.333
77,0.4,0.333,0.364
78,0.625,1.0,0.769
79,0.4,0.667,0.5
80,0.143,0.25,0.182
81,1.0,0.667,0.8
82,0.5,0.333,0.4
83,0.75,0.857,0.8
84,0.5,1.0,0.667
85,0.5,0.429,0.462
86,0.667,0.667,0.667
87,0.8,1.0,0.889
88,0.5,1.0,0.667
89,0.25,0.667,0.364
90,0.667,0.4,0.5
91,1.0,0.5,0.667
92,1.0,1.0,1.0
93,1.0,0.5,0.667
94,0.4,1.0,0.571
95,0.333,0.333,0.333
96,0.857,0.6,0.706
97,0.75,0.6,0.667
98,0.8,0.8,0.8
99,0.667,0.8,0.727
