Document,Precision,Recall,F1-score
0,1.0,0.545,0.706
1,1.0,0.333,0.5
2,1.0,0.462,0.632
3,0.0,0.0,0.0
4,1.0,0.667,0.8
5,0.5,0.5,0.5
6,0.75,0.3,0.429
7,0.667,0.5,0.571
8,1.0,1.0,1.0
9,1.0,0.667,0.8
10,1.0,0.8,0.889
11,1.0,0.75,0.857
12,1.0,0.667,0.8
13,1.0,0.667,0.8
14,0.714,0.556,0.625
15,1.0,0.75,0.857
16,0.6,1.0,0.75
17,1.0,0.8,0.889
18,1.0,0.714,0.833
19,0.833,1.0,0.909
20,0.667,0.4,0.5
21,1.0,0.333,0.5
22,1.0,1.0,1.0
23,0.714,0.333,0.455
24,0.625,0.625,0.625
25,0.577,0.536,0.556
26,1.0,1.0,1.0
27,0.65,0.765,0.703
28,0.8,0.4,0.533
29,0.833,0.714,0.769
30,0.667,1.0,0.8
31,1.0,0.429,0.6
32,0.625,1.0,0.769
33,0.667,0.364,0.471
34,1.0,0.5,0.667
35,1.0,0.25,0.4
36,0.0,0.0,0.0
37,0.8,0.286,0.421
38,0.75,0.5,0.6
39,1.0,0.5,0.667
40,1.0,0.5,0.667
41,1.0,0.545,0.706
42,1.0,1.0,1.0
43,0.0,0.0,0.0
44,0.833,0.625,0.714
45,0.214,0.115,0.15
46,1.0,0.111,0.2
47,1.0,0.429,0.6
48,0.333,0.071,0.118
49,0.333,0.071,0.118
50,0.0,0.0,0.0
51,0.5,0.4,0.444
52,0.0,0.0,0.0
53,1.0,0.444,0.615
54,0.0,0.0,0.0
55,1.0,0.333,0.5
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.5,0.5,0.5
60,1.0,0.4,0.571
61,0.5,1.0,0.667
62,1.0,0.6,0.75
63,0.571,1.0,0.727
64,0.714,0.5,0.588
65,1.0,0.8,0.889
66,0.625,1.0,0.769
67,1.0,0.6,0.75
68,0.4,0.4,0.4
69,0.5,0.571,0.533
70,0.75,1.0,0.857
71,0.429,1.0,0.6
72,1.0,0.571,0.727
73,1.0,0.5,0.667
74,1.0,0.3,0.462
75,0.714,1.0,0.833
76,0.0,0.0,0.0
77,0.4,0.333,0.364
78,0.833,0.833,0.833
79,0.8,0.8,0.8
80,0.25,0.5,0.333
81,1.0,0.667,0.8
82,0.667,0.667,0.667
83,0.778,1.0,0.875
84,0.667,1.0,0.8
85,1.0,0.7,0.824
86,0.667,0.667,0.667
87,0.8,1.0,0.889
88,0.333,1.0,0.5
89,0.182,1.0,0.308
90,0.667,0.4,0.5
91,1.0,0.5,0.667
92,0.5,1.0,0.667
93,1.0,0.5,0.667
94,0.4,1.0,0.571
95,0.333,0.333,0.333
96,0.857,0.6,0.706
97,0.75,0.6,0.667
98,0.8,0.8,0.8
99,0.667,0.8,0.727
