Document,Precision,Recall,F1-score
0,1.0,0.455,0.625
1,1.0,0.333,0.5
2,1.0,0.385,0.556
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,0.667,1.0,0.8
6,1.0,0.417,0.588
7,1.0,0.6,0.75
8,1.0,1.0,1.0
9,1.0,0.667,0.8
10,1.0,0.6,0.75
11,1.0,0.75,0.857
12,1.0,0.667,0.8
13,1.0,0.333,0.5
14,1.0,0.364,0.533
15,1.0,0.75,0.857
16,0.6,1.0,0.75
17,1.0,0.6,0.75
18,1.0,0.714,0.833
19,0.75,0.6,0.667
20,0.667,0.4,0.5
21,1.0,0.444,0.615
22,0.0,0.0,0.0
23,0.8,0.25,0.381
24,0.714,0.5,0.588
25,0.619,0.419,0.5
26,1.0,1.0,1.0
27,0.75,0.6,0.667
28,0.667,0.444,0.533
29,0.875,0.875,0.875
30,0.667,1.0,0.8
31,0.875,0.5,0.636
32,0.714,1.0,0.833
33,0.6,0.273,0.375
34,0.833,0.455,0.588
35,1.0,0.25,0.4
36,0.0,0.0,0.0
37,0.75,0.214,0.333
38,0.75,0.5,0.6
39,1.0,0.5,0.667
40,1.0,0.5,0.667
41,1.0,0.364,0.533
42,1.0,1.0,1.0
43,0.0,0.0,0.0
44,0.667,0.25,0.364
45,0.222,0.067,0.103
46,1.0,0.111,0.2
47,1.0,0.429,0.6
48,1.0,0.125,0.222
49,1.0,0.125,0.222
50,0.0,0.0,0.0
51,0.5,0.4,0.444
52,0.0,0.0,0.0
53,1.0,0.389,0.56
54,0.0,0.0,0.0
55,1.0,0.333,0.5
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,1.0,0.333,0.5
60,1.0,0.4,0.571
61,0.5,1.0,0.667
62,1.0,0.6,0.75
63,0.5,1.0,0.667
64,0.667,0.4,0.5
65,1.0,0.8,0.889
66,0.833,0.833,0.833
67,1.0,0.6,0.75
68,0.4,0.4,0.4
69,0.5,0.571,0.533
70,0.667,1.0,0.8
71,0.429,1.0,0.6
72,1.0,0.429,0.6
73,1.0,0.5,0.667
74,0.75,0.333,0.462
75,1.0,0.571,0.727
76,0.0,0.0,0.0
77,0.25,0.167,0.2
78,0.833,0.833,0.833
79,0.5,1.0,0.667
80,0.25,0.5,0.333
81,0.667,0.667,0.667
82,0.5,0.333,0.4
83,0.625,0.833,0.714
84,1.0,0.667,0.8
85,0.571,0.5,0.533
86,0.5,0.5,0.5
87,1.0,1.0,1.0
88,1.0,1.0,1.0
89,0.25,0.667,0.364
90,0.667,0.4,0.5
91,1.0,0.5,0.667
92,1.0,1.0,1.0
93,0.0,0.0,0.0
94,0.5,0.667,0.571
95,0.333,0.333,0.333
96,0.857,0.6,0.706
97,0.75,0.6,0.667
98,1.0,0.667,0.8
99,0.667,0.8,0.727
