Document,Precision,Recall,F1-score
0,1.0,0.545,0.706
1,0.667,0.4,0.5
2,1.0,0.154,0.267
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,0.667,1.0,0.8
6,1.0,0.333,0.5
7,0.667,0.4,0.5
8,0.667,1.0,0.8
9,1.0,0.583,0.737
10,1.0,0.4,0.571
11,1.0,0.667,0.8
12,1.0,0.667,0.8
13,1.0,0.5,0.667
14,0.25,0.4,0.308
15,1.0,0.75,0.857
16,0.5,1.0,0.667
17,0.75,0.75,0.75
18,1.0,0.667,0.8
19,1.0,0.5,0.667
20,0.667,0.4,0.5
21,0.8,0.5,0.615
22,0.0,0.0,0.0
23,0.625,0.357,0.455
24,0.667,0.667,0.667
25,0.682,0.455,0.545
26,1.0,1.0,1.0
27,0.643,0.474,0.545
28,0.6,0.333,0.429
29,0.8,0.571,0.667
30,0.667,1.0,0.8
31,0.8,0.308,0.444
32,0.714,1.0,0.833
33,0.667,0.364,0.471
34,1.0,0.333,0.5
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.6,0.231,0.333
38,0.667,0.333,0.444
39,0.75,0.5,0.6
40,1.0,0.25,0.4
41,1.0,0.273,0.429
42,1.0,1.0,1.0
43,0.0,0.0,0.0
44,0.8,0.5,0.615
45,0.182,0.071,0.103
46,1.0,0.111,0.2
47,1.0,0.429,0.6
48,0.5,0.067,0.118
49,0.0,0.0,0.0
50,0.5,0.4,0.444
51,0.0,0.0,0.0
52,1.0,0.333,0.5
53,0.0,0.0,0.0
54,1.0,0.333,0.5
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.5,0.5,0.5
59,1.0,0.4,0.571
60,0.25,1.0,0.4
61,1.0,0.2,0.333
62,0.571,1.0,0.727
63,0.5,0.222,0.308
64,1.0,0.4,0.571
65,0.571,1.0,0.727
66,1.0,0.6,0.75
67,0.333,0.5,0.4
68,0.5,0.571,0.533
69,0.667,1.0,0.8
70,0.429,1.0,0.6
71,1.0,0.571,0.727
72,1.0,0.5,0.667
73,0.75,0.333,0.462
74,0.8,0.667,0.727
75,0.2,1.0,0.333
76,0.4,0.333,0.364
77,0.625,1.0,0.769
78,0.4,0.667,0.5
79,0.143,0.25,0.182
80,1.0,0.667,0.8
81,0.5,0.333,0.4
82,0.75,0.857,0.8
83,0.5,1.0,0.667
84,0.5,0.429,0.462
85,0.667,0.667,0.667
86,0.8,1.0,0.889
87,0.5,1.0,0.667
88,0.25,0.667,0.364
89,0.667,0.4,0.5
90,1.0,0.5,0.667
91,1.0,1.0,1.0
92,1.0,0.5,0.667
93,0.4,1.0,0.571
94,0.333,0.333,0.333
95,0.857,0.6,0.706
96,0.75,0.6,0.667
97,0.8,0.8,0.8
98,0.667,0.8,0.727
