Document,Precision,Recall,F1-score
0,1.0,0.545,0.706
1,1.0,0.333,0.5
2,1.0,0.231,0.375
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,1.0,0.667,0.8
6,1.0,0.25,0.4
7,0.667,0.5,0.571
8,1.0,1.0,1.0
9,1.0,0.583,0.737
10,1.0,0.2,0.333
11,1.0,0.667,0.8
12,1.0,0.667,0.8
13,1.0,0.333,0.5
14,0.4,0.25,0.308
15,1.0,0.5,0.667
16,0.5,1.0,0.667
17,1.0,0.6,0.75
18,1.0,0.667,0.8
19,0.8,0.8,0.8
20,0.5,0.2,0.286
21,1.0,0.333,0.5
22,1.0,1.0,1.0
23,0.833,0.312,0.455
24,0.6,0.3,0.4
25,0.667,0.364,0.471
26,1.0,1.0,1.0
27,0.727,0.381,0.5
28,0.75,0.3,0.429
29,0.5,0.6,0.545
