Document,Precision,Recall,F1-score
0,1.0,0.545,0.706
1,1.0,0.333,0.5
2,1.0,0.385,0.556
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,0.667,1.0,0.8
6,0.75,0.273,0.4
7,0.667,0.5,0.571
8,1.0,1.0,1.0
9,1.0,0.75,0.857
10,1.0,0.75,0.857
11,1.0,0.75,0.857
12,1.0,0.667,0.8
13,1.0,0.667,0.8
14,0.6,0.333,0.429
15,1.0,0.75,0.857
16,0.6,1.0,0.75
17,1.0,0.8,0.889
18,1.0,0.714,0.833
19,0.8,0.8,0.8
20,1.0,0.333,0.5
21,1.0,0.333,0.5
22,1.0,1.0,1.0
23,0.714,0.333,0.455
24,0.571,0.444,0.5
25,0.577,0.536,0.556
26,1.0,1.0,1.0
27,0.667,0.667,0.667
28,0.667,0.444,0.533
29,0.857,0.857,0.857
