Document,Precision,Recall,F1-score
0,1.0,1.0,1.0
1,0.429,1.0,0.6
2,0.8,1.0,0.889
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,0.857,1.0,0.923
10,1.0,1.0,1.0
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,0.444,1.0,0.615
14,0.722,1.0,0.839
15,1.0,1.0,1.0
16,0.714,1.0,0.833
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,0.85,1.0,0.919
24,1.0,1.0,1.0
25,1.0,1.0,1.0
26,1.0,1.0,1.0
27,0.923,1.0,0.96
28,1.0,1.0,1.0
29,0.778,1.0,0.875
