Document,Precision,Recall,F1-score
0,1.0,0.455,0.625
1,1.0,0.333,0.5
2,1.0,0.385,0.556
3,0.0,0.0,0.0
4,1.0,0.333,0.5
5,0.667,1.0,0.8
6,1.0,0.417,0.588
7,1.0,0.6,0.75
8,1.0,1.0,1.0
9,1.0,0.667,0.8
10,1.0,0.6,0.75
11,1.0,0.75,0.857
12,1.0,0.667,0.8
13,1.0,0.333,0.5
14,1.0,0.364,0.533
15,1.0,0.75,0.857
16,0.6,1.0,0.75
17,1.0,0.6,0.75
18,1.0,0.714,0.833
19,0.75,0.6,0.667
20,0.667,0.4,0.5
21,1.0,0.444,0.615
22,0.0,0.0,0.0
23,0.8,0.25,0.381
24,0.714,0.5,0.588
25,0.619,0.419,0.5
26,1.0,1.0,1.0
27,0.75,0.6,0.667
28,0.667,0.444,0.533
29,0.875,0.875,0.875
